timestamp,evento,vehiculo,carrosDentro,camionesDentro,libresTotal,libresVIP,esperando,desistieron
2026-04-08 22:38:24.610,SALIDA,CARRO(CARRO-20),14,0,6,5,5,0
2026-04-08 22:38:24.701,SALIDA,CARRO(CARRO-28),14,0,6,5,4,0
2026-04-08 22:38:24.701,ENTRADA,CARRO(CARRO-39),15,0,5,5,3,0
2026-04-08 22:38:24.751,SALIDA,CARRO(CARRO-25),14,0,6,5,4,0
2026-04-08 22:38:24.751,ENTRADA,CARRO(CARRO-40),15,0,5,5,3,0
2026-04-08 22:38:24.963,ENTRADA,CARRO(CARRO-41),15,0,5,5,3,0
2026-04-08 22:38:24.963,SALIDA,CARRO(CARRO-16),14,0,6,5,4,0
2026-04-08 22:38:25.283,SALIDA,CARRO(CARRO-29),14,0,6,5,5,0
2026-04-08 22:38:25.283,ENTRADA,CARRO(CARRO-42),15,0,5,5,4,0
2026-04-08 22:38:25.618,ENTRADA,CARRO(CARRO-43),15,0,5,5,5,0
2026-04-08 22:38:25.618,SALIDA,CARRO(CARRO-27),14,0,6,5,6,0
2026-04-08 22:38:25.774,SALIDA,CARRO(CARRO-33),14,0,6,5,7,0
2026-04-08 22:38:25.774,ENTRADA,CARRO(CARRO-44),15,0,5,5,6,0
2026-04-08 22:38:26.294,ENTRADA,CARRO(CARRO-45),15,0,5,5,8,0
2026-04-08 22:38:26.294,SALIDA,CARRO(CARRO-24),14,0,6,5,9,0
2026-04-08 22:38:26.355,SALIDA,CARRO(CARRO-36),14,0,6,5,9,0
2026-04-08 22:38:26.356,ENTRADA,CARRO(CARRO-46),15,0,5,5,8,0
2026-04-08 22:38:26.404,SALIDA,CARRO(CARRO-39),14,0,6,5,8,0
2026-04-08 22:38:26.404,ENTRADA,CARRO(CARRO-47),15,0,5,5,7,0
2026-04-08 22:38:26.703,SALIDA,CARRO(CARRO-37),14,0,6,5,9,0
2026-04-08 22:38:26.703,ENTRADA,CARRO(CARRO-48),15,0,5,5,8,0
2026-04-08 22:38:26.871,SALIDA,CARRO(CARRO-35),14,0,6,5,9,0
2026-04-08 22:38:26.871,ENTRADA,CARRO(CARRO-49),15,0,5,5,8,0
2026-04-08 22:38:26.963,SALIDA,CARRO(CARRO-30),14,0,6,5,8,0
2026-04-08 22:38:26.963,ENTRADA,CARRO(CARRO-50),15,0,5,5,7,0
2026-04-08 22:38:27.315,SALIDA,CARRO(CARRO-32),14,0,6,5,9,0
2026-04-08 22:38:27.496,SALIDA,CARRO(CARRO-40),13,0,7,5,10,0
2026-04-08 22:38:27.496,ENTRADA,CAMION(CAMION-1),13,1,5,5,9,0
2026-04-08 22:38:27.735,SALIDA,CARRO(CARRO-46),12,1,6,5,9,0
2026-04-08 22:38:27.850,SALIDA,CARRO(CARRO-45),11,1,7,5,9,0
2026-04-08 22:38:27.851,ENTRADA,CAMION(CAMION-2),11,2,5,5,8,0
2026-04-08 22:38:28.078,SALIDA,CARRO(CARRO-42),10,2,6,5,8,0
2026-04-08 22:38:28.197,SALIDA,CARRO(CARRO-31),9,2,7,5,8,0
2026-04-08 22:38:28.197,ENTRADA,CAMION(CAMION-3),9,3,5,5,7,0
2026-04-08 22:38:28.451,SALIDA,CARRO(CARRO-44),8,3,6,5,7,0
2026-04-08 22:38:28.878,SALIDA,CARRO(CARRO-38),7,3,7,5,7,0
2026-04-08 22:38:28.964,SALIDA,CAMION(CAMION-1),7,2,9,5,7,0
2026-04-08 22:38:28.964,ENTRADA,CAMION(CAMION-4),7,3,7,5,6,0
2026-04-08 22:38:28.972,SALIDA,CARRO(CARRO-48),6,3,8,5,6,0
2026-04-08 22:38:28.989,SALIDA,CARRO(CARRO-47),5,3,9,5,6,0
2026-04-08 22:38:29.075,SALIDA,CARRO(CARRO-34),4,3,10,5,6,0
2026-04-08 22:38:29.766,SALIDA,CARRO(CARRO-41),3,3,11,5,4,2
2026-04-08 22:38:30.222,SALIDA,CARRO(CARRO-43),2,3,12,5,4,2
2026-04-08 22:38:30.505,SALIDA,CAMION(CAMION-3),2,2,14,5,4,2
2026-04-08 22:38:30.505,ENTRADA,CAMION(CAMION-6),2,3,12,5,3,2
2026-04-08 22:38:30.863,SALIDA,CARRO(CARRO-49),1,3,13,5,3,2
2026-04-08 22:38:30.965,SALIDA,CAMION(CAMION-4),1,2,15,5,3,2
2026-04-08 22:38:30.965,ENTRADA,CAMION(CAMION-8),1,3,13,5,2,2
2026-04-08 22:38:31.003,SALIDA,CARRO(CARRO-50),0,3,14,5,2,2
2026-04-08 22:38:32.135,ENTRADA,CAMION(CAMION-9),0,3,14,5,0,3
2026-04-08 22:38:32.134,SALIDA,CAMION(CAMION-8),0,2,16,5,1,3
2026-04-08 22:38:32.356,SALIDA,CAMION(CAMION-2),0,2,16,5,0,3
2026-04-08 22:38:32.984,SALIDA,CAMION(CAMION-6),0,1,18,5,0,3
2026-04-08 22:38:33.922,SALIDA,CAMION(CAMION-9),0,0,20,5,0,3
